sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
61,hold,290021,293223,416756
121,hold,304174,289949,405877
181,hold,281593,296430,421977
241,hold,291108,290774,418118
301,hold,271025,266806,462169
361,hold,273494,283002,443504
421,hold,295351,286478,418171
481,hold,293916,301367,404716
541,hold,291467,303944,404589
601,hold,294730,300257,405013
661,hold,283766,287801,428433
721,hold,292932,292765,414303
781,hold,281033,284170,434797
841,hold,292021,293111,414868
901,hold,294238,309908,395854
961,hold,287965,299052,412983
1021,hold,300490,288455,411055
1081,hold,292284,296185,411531
1141,hold,306886,302258,390856
1201,hold,299122,294761,406117
1261,hold,295935,306409,397656
1321,hold,291424,294970,413606
1381,hold,288284,295271,416445
1441,hold,296531,291332,412137
1501,hold,297290,295650,407060
1561,hold,290600,281188,428213
1621,hold,301366,306014,392620
1681,hold,302978,302490,394532
1741,hold,288658,289411,421931
1801,hold,286131,281087,432781
1861,hold,296590,291932,411478
1921,hold,300553,305685,393762
1981,hold,283125,304398,412477
2041,hold,291006,296264,412730
2101,hold,289347,295522,415131
2161,hold,297909,295517,406575
2221,hold,302268,298398,399334
2281,hold,282833,293802,423365
2341,hold,279991,301982,418027
2401,hold,299748,288074,412178
2461,hold,281040,293830,425130
2521,hold,308658,301083,390259
2581,hold,289985,298497,411518
2641,hold,303418,295334,401248
2701,hold,303710,299025,397265
2761,hold,292392,291834,415774
2821,hold,298950,297911,403139
2881,hold,289826,285041,425133
2941,hold,300265,286034,413700
3001,hold,293932,292516,413551
3061,hold,302648,298369,398983
3121,hold,300954,292885,406161
3181,hold,309985,289913,400102
3241,hold,296937,285231,417832
3301,hold,297380,287738,414882
3361,hold,305151,295411,399439
3421,hold,291735,305051,403214
3481,hold,279155,292784,428062
3541,hold,298846,306029,395125
3601,hold,278199,292465,429336
3661,hold,298995,289152,411853
3721,hold,295651,298320,406029
3781,hold,289313,299411,411275
3841,hold,293745,298741,407515
3901,hold,294640,299510,405850
3961,hold,298984,294556,406460
4021,hold,301958,299036,399006
4081,hold,291982,289189,418830
4141,hold,293116,292924,413960
4201,hold,309075,301452,389473
4261,hold,299247,298854,401900
4321,hold,305806,289377,404817
4381,hold,291771,285964,422265
4441,hold,298993,286148,414860
4501,hold,289986,298805,411209
4561,hold,286557,286326,427117
4621,hold,308841,293693,397466
4681,hold,292520,286471,421009
4741,hold,295118,296949,407933
4801,hold,286936,295037,418027
4861,hold,290302,302104,407594
4921,hold,297010,293684,409306
4981,hold,291103,286511,422386
5041,hold,300310,299627,400062
5101,hold,291932,290632,417437
5161,hold,300243,291730,408027
5221,hold,294160,299798,406042
5281,hold,312217,294222,393560
5341,hold,295964,303229,400807
5401,hold,279339,288249,432412
5461,hold,305563,296120,398317
5521,hold,300894,299210,399896
5581,hold,292601,302521,404879
5641,hold,299247,296786,403967
5701,hold,295832,289915,414253
5761,hold,302278,286844,410878
5821,hold,282658,281461,435882
5881,hold,318004,297472,384525
5941,hold,299220,301282,399498
6001,hold,301098,303602,395300
6061,hold,299838,289750,410412
6121,hold,295950,294638,409412
6181,hold,293046,301704,405249
6241,hold,293408,295092,411500
6301,hold,290305,299420,410275
6361,hold,277550,294825,427625
6421,hold,298802,292187,409011
6481,hold,296136,295830,408034
6541,hold,280459,279433,440108
6601,hold,298760,287112,414128
6661,hold,289025,302011,408964
6721,hold,297023,298630,404347
6781,hold,293940,294988,411072
6841,hold,298594,288750,412655
6901,hold,288668,293375,417957
6961,hold,307196,305552,387252
7021,hold,292289,297722,409989
7081,hold,287584,295958,416458
7141,hold,294300,301664,404036
7201,hold,288485,279506,432010
7261,hold,292863,296960,410177
7321,hold,292542,294762,412696
7381,hold,286424,298834,414742
7441,hold,303802,299837,396361
7501,hold,292134,294588,413279
7561,hold,292112,285052,422837
7621,hold,306226,297552,396221
7681,hold,318966,292909,388126
7741,hold,292592,297404,410004
7801,hold,297256,299282,403462
7861,hold,297025,296903,406072
7921,hold,291616,299570,408814
7981,hold,297210,300905,401885
8041,hold,291232,297785,410983
8101,hold,275271,278655,446074
8161,hold,292661,298509,408830
8221,hold,291499,295334,413167
8281,hold,286617,282498,430885
8341,hold,288829,294240,416931
8401,hold,297480,294590,407930
8461,hold,298426,307630,393944
8521,hold,296437,297329,406234
8581,hold,306634,296960,396406
8641,hold,304915,279599,415487
8701,hold,309466,296009,394525
8761,hold,306054,298563,395384
8821,hold,292277,294395,413328
8881,hold,305994,299576,394430
8941,hold,290808,289263,419929
9001,hold,288260,297650,414089
9061,hold,310581,293980,395440
9121,hold,317073,296318,386609
9181,hold,287701,301160,411138
9241,hold,288285,284460,427255
9301,hold,287677,296806,415517
9361,hold,296632,295164,408204
9421,hold,292565,295619,411816
9481,hold,290027,294039,415934
9541,hold,288995,303445,407559
9601,hold,285717,293636,420646
9661,hold,291538,285215,423247
9721,hold,291570,284963,423468
9781,hold,319985,290632,389383
9841,hold,297208,291072,411720
9901,hold,296590,302901,400509
9961,hold,289600,292927,417473
10021,hold,292782,299958,407259
10081,hold,289164,279433,431403
10141,hold,293925,287745,418331
10201,hold,294101,295085,410814
10261,hold,288533,293762,417706
10321,hold,298152,291865,409983
10381,hold,306857,296800,396343
10441,hold,295371,299502,405126
10501,hold,300562,296518,402920
10561,hold,291700,289047,419253
10621,hold,287266,307927,404808
10681,hold,293396,292398,414207
10741,hold,301738,304818,393443
10801,hold,273814,262416,463769
10861,hold,294630,296416,408954
10921,hold,296066,301799,402135
10981,hold,298812,303721,397467
11041,hold,289771,295368,414860
11101,hold,290271,288496,421233
11161,hold,286193,285157,428650
11221,hold,294878,296239,408883
11281,hold,308346,300047,391608
11341,hold,308302,301780,389918
11401,hold,298225,300589,401186
11461,hold,289884,298022,412093
11521,hold,298350,278798,422852
11581,hold,289091,297525,413384
11641,hold,284742,291566,423692
11701,hold,289749,292056,418195
11761,hold,298638,294870,406492
11821,hold,299356,301590,399054
11881,hold,297304,302267,400430
11941,hold,284001,291705,424294
12001,hold,305392,290336,404272
12061,hold,298199,297747,404054
12121,hold,304214,301050,394736
12181,hold,285301,291401,423298
12241,hold,280300,291714,427986
12301,hold,291854,296703,411443
12361,hold,294208,296058,409733
12421,hold,291189,303905,404906
12481,hold,300863,300859,398278
12541,hold,307407,300680,391913
12601,hold,293118,290437,416445
12661,hold,288688,298647,412665
12721,hold,310193,299493,390314
12781,hold,292447,296855,410699
12841,hold,295255,294332,410414
12901,hold,284817,291781,423402
12961,hold,294499,297669,407832
13021,hold,295320,296081,408599
13081,hold,293602,287862,418536
13141,hold,299171,298420,402409
13201,hold,300712,301592,397696
13261,hold,311592,292241,396167
13321,hold,299906,293048,407046
13381,hold,291307,292937,415756
13441,hold,303108,306029,390862
13501,hold,293435,306326,400239
13561,hold,290834,291389,417777
13621,hold,284403,295533,420063
13681,hold,288227,295841,415932
13741,hold,291098,295782,413120
13801,hold,287194,294294,418512
13861,hold,283327,300934,415739
13921,hold,296203,296034,407763
13981,hold,298263,304059,397678
14041,hold,275991,281203,442805
14101,hold,289379,288903,421718
14161,hold,287540,298239,414220
14221,hold,298522,298845,402633
14281,hold,299101,301999,398900
14341,hold,285633,285565,428802
14401,hold,286408,287965,425626
14461,hold,304007,300849,395144
14521,hold,279643,283339,437018
14581,hold,292909,299986,407105
14641,hold,293577,282230,424193
14701,hold,291543,292081,416377
14761,hold,296546,297532,405922
14821,hold,300251,296936,402813
14881,hold,311095,302424,386481
14941,hold,293273,304740,401987
15001,hold,291716,295823,412461
15061,hold,295552,300092,404355
15121,hold,286107,295184,418710
15181,hold,297142,289859,412998
15241,hold,292416,290703,416881
15301,hold,286011,299094,414895
15361,hold,304754,302282,392965
