sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
16,hold,290646,309313,400041
76,hold,288608,304527,406865
136,hold,288533,305082,406385
196,hold,280360,293830,425810
256,hold,287682,303916,408403
316,hold,283129,297481,419390
376,hold,294710,297569,407721
436,hold,285447,315919,398634
496,hold,284430,296425,419145
556,hold,289766,311785,398449
616,hold,293721,298717,407562
676,hold,308203,313914,377883
736,hold,292302,307375,400323
796,hold,287994,304944,407062
856,hold,289316,306568,404116
916,hold,288594,304680,406726
976,hold,278008,324179,397813
1036,hold,290077,306325,403598
1096,hold,293041,310862,396097
1156,hold,284773,301175,414052
1216,hold,285385,304870,409745
1276,hold,297648,307425,394927
1336,hold,300365,311477,388158
1396,hold,286177,306510,407313
1456,hold,306600,308455,384945
1516,hold,300769,302940,396291
1576,hold,279510,297953,422538
1636,hold,294979,295428,409593
1696,hold,290580,315989,393431
1756,hold,278075,292136,429789
1816,hold,284787,303544,411669
1876,hold,289787,309763,400450
1936,hold,280091,302432,417477
1996,hold,301395,300965,397639
2056,hold,285159,306935,407906
2116,hold,284381,306597,409023
2176,hold,306044,304519,389437
2236,hold,291274,303057,405669
2296,hold,292192,302589,405219
2356,hold,267310,284336,448354
2416,hold,288653,297065,414282
2476,hold,288933,298391,412675
2536,hold,280517,303145,416338
2596,hold,285273,314133,400594
2656,hold,292170,314154,393676
2716,hold,281350,299960,418690
2776,hold,295002,304357,400640
2836,hold,283403,311056,405541
2896,hold,282171,303493,414336
2956,hold,300341,307118,392541
3016,hold,289348,309150,401502
3076,hold,285863,307801,406336
3136,hold,292940,309455,397605
3196,hold,293637,310158,396205
3256,hold,288909,303490,407601
3316,hold,300703,309087,390211
3376,hold,291566,303200,405234
3436,hold,290077,304116,405807
3496,hold,293708,305812,400479
3556,hold,290185,318505,391310
3616,hold,286105,310735,403160
3676,hold,286377,313318,400305
3736,hold,297461,309111,393428
3796,hold,283385,299640,416974
3856,hold,291254,304695,404051
3916,hold,292766,302820,404414
3976,hold,283583,303008,413409
4036,hold,291861,312749,395390
4096,hold,289207,304314,406479
4156,hold,295183,297308,407509
4216,hold,294335,313502,392163
4276,hold,291746,315533,392721
4336,hold,303401,297499,399100
4396,hold,285961,307565,406474
4456,hold,295924,304674,399402
4516,hold,293009,318044,388947
4576,hold,290445,299267,410288
4636,hold,285057,321725,393218
4696,hold,271191,285438,443371
4756,hold,304045,321085,374870
4816,hold,285705,326454,387841
4876,hold,285940,305558,408503
4936,hold,298535,308101,393363
4996,hold,285504,303426,411071
5056,hold,287328,307681,404991
5116,hold,286085,314862,399054
5176,hold,286510,298446,415044
5236,hold,299493,309951,390555
5296,hold,295066,310415,394519
5356,hold,306066,304517,389417
5416,hold,289234,298729,412037
5476,hold,306009,308451,385540
5536,hold,294042,308530,397427
5596,hold,286472,302372,411156
5656,hold,291917,297556,410528
5716,hold,286580,308724,404696
5776,hold,304211,320398,375391
5836,hold,291352,306682,401966
5896,hold,290235,315311,394454
5956,hold,282378,295024,422598
6016,hold,283014,302279,414707
6076,hold,286190,302464,411346
6136,hold,303181,305520,391299
6196,hold,285099,310094,404807
6256,hold,288482,304073,407446
6316,hold,292551,305563,401887
6376,hold,284290,307558,408152
6436,hold,283838,310001,406161
6496,hold,296802,309904,393295
6556,hold,288945,313026,398029
6616,hold,289826,302256,407918
6676,hold,283961,306785,409254
6736,hold,290596,314118,395285
6796,hold,286294,305072,408635
6856,hold,286856,297758,415386
6916,hold,293031,309120,397849
6976,hold,296541,303592,399867
7036,hold,282636,296513,420851
7096,hold,272672,294289,433039
7156,hold,277584,297844,424572
7216,hold,290887,306708,402406
7276,hold,283981,312737,403281
7336,hold,282824,302953,414223
7396,hold,288225,305748,406028
7456,hold,292269,310744,396987
7516,hold,295166,315334,389500
7576,hold,285539,310113,404348
7636,hold,289879,306999,403122
7696,hold,284895,312629,402475
7756,hold,292512,307773,399715
7816,hold,295607,309802,394592
7876,hold,300319,307501,392181
7936,hold,292983,309154,397863
7996,hold,281968,299192,418839
8056,hold,284968,311263,403770
8116,hold,290512,300063,409426
8176,hold,286793,299533,413675
8236,hold,286399,305055,408546
8296,hold,290583,313757,395660
8356,hold,289792,310840,399368
8416,hold,292339,313836,393825
8476,hold,284105,304904,410991
8536,hold,302572,293731,403697
8596,hold,288310,317268,394423
8656,hold,289152,305030,405818
8716,hold,286658,295710,417632
8776,hold,292948,303487,403564
8836,hold,286346,308250,405404
8896,hold,291791,301219,406989
8956,hold,290510,304995,404495
9016,hold,294084,306614,399302
9076,hold,283721,307236,409042
9136,hold,286921,304945,408134
9196,hold,282124,301567,416309
9256,hold,284692,302957,412351
9316,hold,298601,310672,390727
9376,hold,289583,303651,406766
9436,hold,293994,316024,389981
9496,hold,286307,304272,409421
9556,hold,297899,309781,392320
9616,hold,289098,306317,404585
9676,hold,285075,295721,419205
9736,hold,289341,315262,395397
9796,hold,301119,302419,396462
9856,hold,288376,298267,413357
9916,hold,292143,305412,402445
9976,hold,286888,302017,411096
10036,hold,284931,303307,411761
10096,hold,290061,307542,402397
10156,hold,284470,311575,403955
10216,hold,284364,303800,411835
10276,hold,285668,299547,414785
10336,hold,287466,301892,410642
10396,hold,298650,307029,394321
10456,hold,284963,293283,421753
10516,hold,281782,309407,408812
10576,hold,288610,302543,408847
10636,hold,287293,306548,406159
10696,hold,290085,308030,401885
10756,hold,286292,310638,403070
10816,hold,289628,308819,401552
10876,hold,294738,309111,396151
10936,hold,291753,304956,403291
10996,hold,287100,302929,409970
11056,hold,295757,307411,396832
11116,hold,286450,302674,410877
11176,hold,282359,298796,418845
11236,hold,286765,306861,406374
11296,hold,286010,304579,409412
11356,hold,293136,304880,401984
11416,hold,289468,309575,400957
11476,hold,292608,312014,395377
11536,hold,299631,310775,389594
11596,hold,293178,310671,396151
11656,hold,291063,295670,413267
11716,hold,299728,301806,398466
11776,hold,288182,307379,404440
11836,hold,281644,303676,414680
11896,hold,289462,307972,402566
11956,hold,292338,307222,400440
12016,hold,286768,292994,420238
12076,hold,294786,328461,376753
12136,hold,293846,312096,394058
12196,hold,287317,302025,410658
12256,hold,293909,307926,398165
12316,hold,287202,306550,406248
12376,hold,289012,311046,399942
12436,hold,288819,305115,406065
12496,hold,283422,301381,415197
12556,hold,300835,304119,395046
12616,hold,292617,305858,401525
12676,hold,295008,311168,393824
12736,hold,286984,297626,415390
12796,hold,287297,302831,409873
12856,hold,291868,314215,393916
12916,hold,292502,305914,401583
12976,hold,290647,311151,398202
13036,hold,289763,303723,406515
13096,hold,283256,292842,423902
13156,hold,293446,309874,396680
13216,hold,285669,311001,403330
13276,hold,282654,293281,424065
13336,hold,285184,298645,416171
13396,hold,291482,308319,400199
13456,hold,283577,314828,401595
13516,hold,294861,311730,393409
13576,hold,298719,305222,396059
13636,hold,290787,310507,398706
13696,hold,290744,309521,399736
13756,hold,291443,313331,395226
13816,hold,290869,297335,411796
13876,hold,285592,298534,415874
13936,hold,292410,305130,402460
13996,hold,296211,298431,405358
14056,hold,277087,290392,432521
14116,hold,302635,300722,396643
14176,hold,277799,300985,421216
14236,hold,295601,305290,399109
14296,hold,287556,295251,417193
14356,hold,290450,306429,403120
14416,hold,283365,293312,423323
14476,hold,302750,307183,390066
14536,hold,286250,297839,415911
14596,hold,286294,295959,417747
14656,hold,291428,307384,401188
14716,hold,295487,306810,397703
14776,hold,280924,295663,423413
14836,hold,275781,288717,435502
14896,hold,294658,302935,402407
14956,hold,294160,309681,396159
15016,hold,294444,308254,397302
15076,hold,282838,297958,419204
15136,hold,287933,300425,411642
15196,hold,290202,303529,406268
15256,hold,300235,306911,392854
15316,hold,282941,306643,410415
15376,hold,291988,304696,403316
15436,hold,285471,299952,414577
15496,hold,296105,313524,390371
15556,hold,292168,312137,395696
15616,hold,291828,314063,394109
15676,hold,283508,306088,410403
15736,hold,273833,291522,434645
15796,hold,282185,291302,426514
15856,hold,290021,303411,406568
15916,hold,296082,308636,395281
15976,hold,287072,299267,413661
16036,hold,272674,290424,436902
16096,hold,280865,296115,423021
16156,hold,295092,305637,399270
16216,hold,296863,309002,394135
16276,hold,290965,306717,402319
16336,hold,294459,302277,403264
16396,hold,290613,301631,407756
16456,hold,289977,308491,401533
16516,hold,287891,301814,410295
16576,hold,293453,302907,403640
16636,hold,295533,301746,402721
16696,hold,288010,306463,405527
16756,hold,314992,299281,385727
16816,hold,292547,304565,402887
16876,hold,287183,307726,405090
16936,hold,294531,306645,398823
16996,hold,285912,306223,407865
17056,hold,276877,287403,435720
17116,hold,278841,296916,424244
17176,hold,285067,298412,416521
17236,hold,280504,299580,419915
17296,hold,283741,303700,412559
17356,hold,292178,302024,405799
17416,hold,292959,302097,404943
17476,hold,288682,308109,403210
17536,hold,289235,304472,406292
17596,hold,295712,309140,395148
17656,hold,289528,302339,408133
17716,hold,286559,307357,406085
17776,hold,298647,312886,388467
17836,hold,286370,298047,415583
17896,hold,271608,291188,437204
17956,hold,289533,301359,409107
18016,hold,277401,291869,430730
18076,hold,291763,310087,398150
18136,hold,287099,299596,413305
18196,hold,282350,299705,417945
18256,hold,290602,298408,410990
18316,hold,289948,303215,406837
18376,hold,290999,304090,404911
18436,hold,281612,304356,414033
18496,hold,289291,316857,393853
18556,hold,281378,301261,417361
18616,hold,277516,296525,425959
18676,hold,285617,301337,413046
18736,hold,289911,308865,401224
18796,hold,288535,301225,410239
18856,hold,292519,307316,400166
18916,hold,297913,312038,390049
18976,hold,287215,309686,403098
19036,hold,288190,314503,397306
19096,hold,286085,301151,412764
19156,hold,284373,315839,399788
19216,hold,287434,296465,416101
19276,hold,296262,306942,396796
19336,hold,280695,304861,414444
19396,hold,285529,292947,421523
19456,hold,288403,311633,399963
19516,hold,296241,302661,401098
19576,hold,302467,306134,391399
19636,hold,279484,298600,421916
19696,hold,285757,310413,403830
19756,hold,293591,311545,394863
19816,hold,287993,310020,401987
19876,hold,290118,303199,406683
19936,hold,287584,299636,412780
19996,hold,291240,314396,394364
20056,hold,291939,301311,406750
20116,hold,286931,302313,410756
20176,hold,289057,315652,395291
20236,hold,287060,309388,403552
20296,hold,286125,307816,406060
20356,hold,286133,304487,409380
20416,hold,285100,305030,409869
20476,hold,288855,304826,406319
20536,hold,289291,312661,398049
20596,hold,295167,310949,393884
20656,hold,283825,296004,420171
20716,hold,291217,299440,409343
20776,hold,290316,308534,401150
20836,hold,289572,301771,408657
20896,hold,290709,301946,407344
20956,hold,284306,303078,412615
21016,hold,281090,304830,414080
21076,hold,289763,305335,404902
21136,hold,287927,301101,410972
21196,hold,286658,297286,416056
21256,hold,291403,307270,401327
21316,hold,287118,309095,403787
21376,hold,295729,314555,389716
21436,hold,291064,298828,410108
21496,hold,296667,308186,395147
21556,hold,286162,308407,405431
21616,hold,284014,303034,412952
21676,hold,295481,307454,397065
21736,hold,290367,307681,401953
21796,hold,287792,308635,403574
21856,hold,289030,299469,411502
21916,hold,281089,292891,426020
21976,hold,292595,301659,405746
22036,hold,298484,302345,399171
22096,hold,296846,306749,396405
22156,hold,282669,317131,400200
22216,hold,287461,308673,403866
22276,hold,284141,304549,411311
22336,hold,292048,308619,399333
22396,hold,292530,309685,397785
22456,hold,292898,309504,397598
22516,hold,285123,306204,408673
22576,hold,281785,301750,416465
22636,hold,290586,306311,403103
22696,hold,275132,293781,431087
22756,hold,291588,308578,399834
22816,hold,287707,298532,413762
22876,hold,279883,299936,420181
22936,hold,283568,303717,412715
22996,hold,293253,311275,395472
23056,hold,286388,303333,410280
23116,hold,287765,303346,408889
23176,hold,294084,298069,407847
23236,hold,280959,325213,393827
23296,hold,290389,303917,405694
23356,hold,291109,311011,397880
23416,hold,292206,301842,405951
23476,hold,296662,310592,392746
23536,hold,279445,332547,388008
23596,hold,287777,306537,405686
23656,hold,295750,302149,402101
23716,hold,295001,309973,395027
23776,hold,292737,305116,402147
23836,hold,274590,333208,392202
23896,hold,295403,305529,399068
23956,hold,296150,301941,401909
24016,hold,293531,301550,404919
24076,hold,278785,309035,412180
24136,hold,282620,291857,425523
24196,hold,285887,306825,407288
24256,hold,289151,302061,408789
24316,hold,296282,305479,398239
24376,hold,289228,308566,402206
24436,hold,290192,307282,402526
24496,hold,286502,305535,407963
24556,hold,288146,309653,402201
24616,hold,288773,300792,410435
24676,hold,296583,297149,406268
24736,hold,287164,306178,406658
24796,hold,283926,300367,415706
24856,hold,281811,327295,390895
24916,hold,283865,299046,417089
24976,hold,292196,305122,402682
25036,hold,279058,291546,429396
25096,hold,280165,293951,425884
25156,hold,291687,308499,399814
25216,hold,284332,302477,413192
25276,hold,286467,305756,407777
25336,hold,287556,303216,409227
25396,hold,289674,301706,408620
25456,hold,300311,303839,395850
25516,hold,298922,306251,394827
25576,hold,285409,300292,414299
25636,hold,293974,300175,405851
25696,hold,285678,312537,401785
25756,hold,298274,311200,390526
25816,hold,294568,302213,403219
25876,hold,290186,305596,404218
25936,hold,290854,315096,394050
25996,hold,284297,305309,410394
26056,hold,301683,315239,383078
26116,hold,286343,308300,405357
26176,hold,291087,307099,401814
26236,hold,294576,302327,403096
26296,hold,292675,312433,394892
26356,hold,291345,306389,402267
26416,hold,295387,311055,393557
26476,hold,285704,304660,409637
