sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
16,hold,352188,249743,398069
76,hold,352948,265895,381157
136,hold,274022,307237,418740
196,hold,246287,265515,488198
256,hold,217410,273788,508801
316,hold,240267,228475,531258
376,hold,225624,191809,582567
436,hold,187540,192599,619861
496,hold,206125,212634,581241
556,hold,338604,315469,345927
616,hold,281290,251562,467149
676,hold,287380,232986,479635
736,hold,228185,207325,564490
796,hold,233575,216605,549820
856,hold,332337,277952,389711
916,hold,322062,385511,292427
976,hold,209947,267591,522462
1036,hold,272413,316508,411079
1096,hold,238134,221236,540629
1156,hold,291392,338737,369871
1216,hold,374518,282036,343445
1276,hold,260271,240950,498778
1336,hold,265529,276173,458299
1396,hold,244528,270455,485017
1456,hold,296698,240638,462664
1516,hold,528556,265197,206247
1576,hold,287324,276092,436584
1636,hold,333943,284298,381759
1696,hold,259556,262480,477965
1756,hold,280854,330207,388940
1816,hold,229649,256078,514273
1876,hold,287329,275471,437201
1936,hold,313584,334499,351916
1996,hold,322430,303190,374380
2056,hold,273535,328058,398407
2116,hold,281838,313818,404344
2176,hold,280571,252506,466923
2236,hold,396827,329034,274139
2296,hold,292028,357199,350773
2356,hold,436248,520166,43586
2416,hold,551985,340673,107342
2476,hold,483601,336553,179846
2536,hold,388246,333325,278429
2596,hold,401506,305759,292735
2656,hold,402536,392658,204806
2716,hold,308581,301420,389998
2776,hold,268380,340947,390673
2836,hold,254601,284334,461066
2896,hold,178533,194768,626699
2956,hold,246201,307821,445979
3016,hold,392663,285758,321579
3076,hold,199491,266069,534440
3136,hold,218230,206015,575755
3196,hold,253044,307760,439196
3256,hold,212679,220454,566866
3316,hold,221365,318287,460349
3376,hold,301146,263580,435273
3436,hold,311288,232825,455887
3496,hold,273234,219114,507652
3556,hold,185776,192161,622063
3616,hold,279949,277785,442266
3676,hold,317690,345390,336920
3736,hold,316729,313205,370067
3796,hold,421163,494038,84799
3856,hold,363481,329289,307230
3916,hold,417064,305133,277803
3976,hold,391812,307218,300970
4036,hold,378038,329554,292408
4096,hold,259673,333966,406360
4156,hold,256447,321890,421662
4216,hold,212947,229481,557572
4276,hold,230791,232313,536896
4336,hold,220788,225353,553859
4396,hold,259306,302195,438499
4456,hold,219410,216413,564177
4516,hold,247769,279544,472687
4576,hold,219844,300681,479475
4636,hold,193899,183001,623100
4696,hold,166169,181293,652539
4756,hold,255226,282021,462753
4816,hold,179334,191469,629196
4876,hold,292550,355978,351473
4936,hold,276727,239732,483541
4996,hold,197545,208437,594017
5056,hold,199932,211083,588985
5116,hold,233259,233499,533242
5176,hold,215103,235049,549848
5236,hold,265073,288819,446108
5296,hold,337427,300154,362418
5356,hold,225708,210193,564098
5416,hold,263210,278102,458688
5476,hold,311753,206797,481450
5536,hold,212921,222495,564584
5596,hold,209484,243316,547201
5656,hold,233046,275032,491922
5716,hold,219800,282550,497650
5776,hold,289041,279151,431808
5836,hold,248237,238832,512931
5896,hold,185265,186518,628216
5956,hold,158720,167679,673601
6016,hold,194913,212971,592116
6076,hold,161388,178862,659750
6136,hold,188225,170910,640865
6196,hold,157477,162729,679794
6256,hold,325981,289270,384749
6316,hold,247317,218815,533868
6376,hold,245097,275683,479220
6436,hold,182681,185280,632038
6496,hold,246051,223329,530620
6556,hold,204836,200062,595102
6616,hold,263489,308583,427928
6676,hold,298069,348057,353874
6736,hold,313421,283338,403242
6796,hold,179374,258592,562035
6856,hold,278715,333059,388226
6916,hold,293031,277116,429852
6976,hold,232682,203812,563505
7036,hold,292967,317948,389085
7096,hold,184554,193746,621700
7156,hold,201848,287168,510984
7216,hold,258707,272067,469227
7276,hold,282773,332008,385219
7336,hold,294713,298759,406528
7396,hold,275500,261247,463253
7456,hold,286052,295807,418141
7516,hold,268924,224090,506985
7576,hold,367810,279168,353022
7636,hold,300503,314011,385486
7696,hold,214756,224346,560898
7756,hold,237670,254970,507360
7816,hold,259331,318529,422139
7876,hold,270970,231815,497215
7936,hold,334005,320531,345464
7996,hold,382901,344498,272601
8056,hold,385549,511681,102770
8116,hold,353953,488507,157541
8176,hold,303788,365626,330586
8236,hold,389211,408062,202727
8296,hold,378529,352150,269320
8356,hold,422956,287189,289855
8416,hold,272079,263704,464217
8476,hold,356088,290366,353546
8536,hold,270617,293811,435572
8596,hold,276300,291636,432064
8656,hold,279534,301231,419235
8716,hold,324526,334269,341205
8776,hold,225793,210613,563593
8836,hold,229479,259482,511038
8896,hold,240273,232499,527228
8956,hold,215865,198757,585377
9016,hold,274786,200741,524473
9076,hold,212749,229453,557798
9136,hold,200461,305397,494142
9196,hold,165969,190868,643163
9256,hold,299043,288455,412503
9316,hold,260043,239148,500809
9376,hold,308867,294175,396959
9436,hold,259697,238993,501310
9496,hold,299495,279299,421206
9556,long,881803,115735,2461
9616,hold,487712,500008,12280
9676,hold,398715,410571,190714
9736,hold,371864,430981,197155
9796,hold,449172,375276,175552
9856,hold,299425,374192,326383
9916,hold,337226,345513,317261
9976,hold,391820,385001,223179
10036,hold,300326,340103,359571
10096,hold,269387,243155,487459
10156,hold,299894,303193,396912
10216,hold,280728,281519,437753
10276,hold,431212,349166,219622
10336,hold,388483,459173,152343
10396,hold,466696,327894,205410
10456,hold,235848,248319,515833
10516,hold,382641,289104,328255
10576,hold,310563,330591,358845
10636,hold,316664,293158,390178
10696,hold,283487,317760,398753
10756,hold,259492,302552,437957
10816,hold,342969,337910,319121
10876,long,616408,275147,108446
10936,hold,490113,324016,185871
10996,hold,447295,547070,5636
11056,hold,395431,517362,87208
11116,long,652525,263429,84046
11176,hold,436344,519803,43853
11236,hold,545110,387898,66992
11296,hold,428145,392773,179082
11356,hold,355632,419366,225001
11416,hold,302251,303549,394200
11476,hold,270028,270225,459747
11536,hold,275416,243998,480586
11596,hold,326483,255217,418300
11656,short,313566,650764,35670
11716,hold,324087,357741,318172
11776,hold,297955,296618,405427
11836,hold,344603,269000,386397
11896,hold,383584,310846,305570
11956,hold,247091,279701,473208
12016,hold,509801,297215,192984
12076,hold,517350,284131,198519
12136,hold,257301,284552,458147
12196,hold,300829,293456,405715
12256,hold,363254,370870,265876
12316,hold,334266,366994,298740
12376,long,701673,285238,13088
12436,hold,569031,297997,132973
12496,hold,432330,278954,288716
12556,hold,366495,333065,300440
12616,hold,423725,287044,289231
12676,hold,577500,253143,169356
12736,hold,448458,415414,136128
12796,hold,421893,488863,89244
12856,hold,490212,381286,128502
12916,hold,440228,276262,283510
12976,hold,353431,313943,332626
13036,hold,394314,288108,317578
13096,hold,256926,289216,453858
13156,hold,281261,348093,370646
