sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
16,hold,0,0,1000000
76,hold,328415,305138,366447
136,hold,335940,281398,382663
196,hold,163368,209552,627079
256,hold,210397,234369,555234
316,hold,0,0,1000000
376,hold,0,0,1000000
436,hold,0,0,1000000
496,hold,0,0,1000000
556,hold,310863,341397,347739
616,hold,0,0,1000000
676,hold,0,0,1000000
736,hold,0,0,1000000
796,hold,0,0,1000000
856,hold,298496,333643,367861
916,hold,0,0,1000000
976,hold,217154,299968,482877
1036,hold,291244,278969,429787
1096,hold,0,0,1000000
1156,hold,0,0,1000000
1216,hold,261336,242154,496510
1276,hold,0,0,1000000
1336,hold,0,0,1000000
1396,hold,0,0,1000000
1456,hold,0,0,1000000
1516,hold,401115,306773,292112
1576,hold,312854,297069,390077
1636,hold,0,0,1000000
1696,hold,0,0,1000000
1756,hold,0,0,1000000
1816,hold,0,0,1000000
1876,hold,244992,240034,514974
1936,hold,0,0,1000000
1996,hold,255736,241412,502852
2056,hold,283648,282467,433885
2116,hold,0,0,1000000
2176,hold,0,0,1000000
2236,hold,0,0,1000000
2296,hold,409054,329667,261279
2356,hold,0,0,1000000
2416,hold,0,0,1000000
2476,hold,428736,291892,279372
2536,hold,442478,393148,164374
2596,hold,268755,272300,458945
2656,hold,0,0,1000000
2716,hold,353014,291972,355014
2776,hold,257294,301756,440950
2836,hold,0,0,1000000
2896,hold,0,0,1000000
2956,hold,248155,276553,475292
3016,hold,330661,257788,411551
3076,hold,207145,226930,565925
3136,hold,0,0,1000000
3196,hold,253219,268188,478593
3256,hold,0,0,1000000
3316,hold,314848,252577,432576
3376,hold,0,0,1000000
3436,hold,0,0,1000000
3496,hold,0,0,1000000
3556,hold,0,0,1000000
3616,hold,218041,249257,532702
3676,hold,281163,363176,355661
3736,hold,243551,258910,497539
3796,hold,0,0,1000000
3856,hold,344416,295411,360173
3916,hold,0,0,1000000
3976,hold,315300,256080,428620
4036,hold,363520,340521,295959
4096,hold,355824,288832,355345
4156,hold,318754,266196,415050
4216,hold,0,0,1000000
4276,hold,0,0,1000000
4336,hold,0,0,1000000
4396,hold,255681,268073,476246
4456,hold,0,0,1000000
4516,hold,208492,206611,584897
4576,hold,244752,240537,514711
4636,hold,0,0,1000000
4696,hold,0,0,1000000
4756,hold,205746,196829,597425
4816,hold,0,0,1000000
4876,hold,295169,358583,346248
4936,hold,0,0,1000000
4996,hold,0,0,1000000
5056,hold,0,0,1000000
5116,hold,0,0,1000000
5176,hold,0,0,1000000
5236,hold,241522,216904,541574
5296,hold,0,0,1000000
5356,hold,0,0,1000000
5416,hold,205660,210812,583528
5476,hold,0,0,1000000
5536,hold,0,0,1000000
5596,hold,0,0,1000000
5656,hold,240850,219830,539319
5716,hold,217888,219185,562927
5776,hold,243625,219978,536398
5836,hold,0,0,1000000
5896,hold,0,0,1000000
5956,hold,0,0,1000000
6016,hold,0,0,1000000
6076,hold,0,0,1000000
6136,hold,0,0,1000000
6196,hold,0,0,1000000
6256,hold,282231,289931,427839
6316,hold,0,0,1000000
6376,hold,263832,240316,495851
6436,hold,0,0,1000000
6496,hold,0,0,1000000
6556,hold,0,0,1000000
6616,hold,249863,279915,470222
6676,hold,0,0,1000000
6736,hold,233757,276318,489925
6796,hold,167989,227019,604992
6856,hold,280889,312283,406828
6916,hold,224055,229299,546646
6976,hold,0,0,1000000
7036,hold,0,0,1000000
7096,hold,0,0,1000000
7156,hold,204105,250487,545408
7216,hold,0,0,1000000
7276,hold,293679,344343,361978
7336,short,347739,592856,59406
7396,hold,0,0,1000000
7456,hold,227578,222850,549573
7516,hold,0,0,1000000
7576,hold,0,0,1000000
7636,hold,0,0,1000000
7696,hold,0,0,1000000
7756,hold,285106,254301,460592
7816,hold,287004,270992,442004
7876,hold,0,0,1000000
7936,hold,316937,271696,411367
7996,hold,322183,404773,273044
8056,hold,0,0,1000000
8116,hold,448584,452290,99126
8176,hold,346910,391341,261750
8236,hold,0,0,1000000
8296,hold,0,0,1000000
8356,hold,0,0,1000000
8416,hold,0,0,1000000
8476,hold,0,0,1000000
8536,hold,341014,272936,386050
8596,hold,247684,255024,497293
8656,hold,0,0,1000000
8716,hold,0,0,1000000
8776,hold,0,0,1000000
8836,hold,225120,255906,518974
8896,hold,0,0,1000000
8956,hold,0,0,1000000
9016,hold,0,0,1000000
9076,hold,0,0,1000000
9136,hold,221132,243402,535466
9196,hold,0,0,1000000
9256,hold,222642,344137,433221
9316,hold,0,0,1000000
9376,hold,359694,323474,316832
9436,hold,0,0,1000000
