sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
16,hold,324467,311803,363730
76,hold,355240,331077,313683
136,hold,319715,278182,402104
196,hold,244430,263994,491576
256,hold,258116,251494,490389
316,hold,237999,244884,517117
376,hold,237129,238980,523891
436,hold,222614,226450,550936
496,hold,236304,259943,503753
556,hold,346561,311978,341461
616,hold,318590,263387,418023
676,hold,289362,252858,457779
736,hold,263882,247714,488404
796,hold,281378,259148,459474
856,hold,315417,343676,340907
916,long,385253,293955,320792
976,hold,283794,315682,400524
1036,hold,309504,247263,443233
1096,hold,290199,255139,454662
1156,hold,339686,356768,303546
1216,hold,295293,266934,437774
1276,hold,302118,263108,434773
1336,hold,335563,270271,394167
1396,hold,283078,275115,441806
1456,hold,291625,249574,458801
1516,long,374039,312387,313574
1576,hold,317102,259606,423292
1636,hold,345575,287855,366570
1696,hold,276487,253203,470309
1756,hold,339951,293499,366550
1816,hold,299241,279929,420830
1876,hold,239045,270217,490738
1936,short,295664,372161,332176
1996,hold,273007,279692,447302
2056,hold,302508,281618,415873
2116,hold,296679,331423,371898
2176,hold,292871,297179,409950
2236,hold,327775,324367,347858
2296,long,403084,295673,301243
2356,long,553568,360811,85620
2416,long,507731,310367,181901
2476,long,373738,364802,261460
2536,long,462113,304400,233486
2596,hold,308463,278290,413247
2656,long,395840,368440,235719
2716,long,374144,261698,364158
2776,hold,300740,296975,402284
2836,hold,326710,272411,400880
2896,hold,233487,230908,535605
2956,hold,293928,265561,440511
3016,hold,288848,301790,409363
3076,hold,251135,232100,516765
3136,hold,247874,240462,511664
3196,hold,289696,284815,425489
3256,hold,244118,257093,498789
3316,hold,293218,256792,449990
3376,hold,266387,274496,459117
3436,hold,270894,271946,457161
3496,hold,265839,254378,479783
3556,hold,224307,225883,549810
3616,hold,252520,299607,447872
3676,hold,317920,320327,361753
3736,hold,252670,256624,490706
3796,long,458308,337191,204500
3856,long,370388,330977,298634
3916,long,406721,290161,303118
3976,hold,286726,307947,405327
4036,short,354875,402958,242167
4096,hold,345350,279047,375602
4156,hold,307928,248049,444023
4216,hold,265523,275088,459389
4276,hold,265020,258496,476484
4336,hold,249812,240586,509601
4396,hold,273434,274121,452445
4456,hold,253685,240738,505576
4516,hold,238401,236414,525184
4576,hold,262330,246011,491658
4636,hold,205552,222483,571964
4696,hold,215170,220952,563879
4756,hold,201945,237905,560150
4816,hold,239068,253172,507760
4876,hold,322462,351357,326181
4936,hold,272797,247882,479320
4996,hold,230388,253462,516151
5056,hold,233071,267317,499612
5116,hold,237396,271530,491074
5176,hold,259122,262355,478523
5236,hold,242850,249720,507430
5296,long,364879,253062,382059
5356,hold,246923,238124,514953
5416,hold,223268,255938,520794
5476,hold,261253,272535,466212
5536,hold,264255,233192,502553
5596,hold,273352,283985,442663
5656,hold,236255,225564,538181
5716,hold,256121,233085,510794
5776,hold,229585,244117,526298
5836,hold,249632,248683,501685
5896,hold,220188,226023,553789
5956,hold,212736,219574,567690
6016,hold,224487,256170,519343
6076,hold,222812,248326,528862
6136,hold,220444,233620,545936
6196,hold,209777,230441,559782
6256,hold,288434,285321,426245
6316,hold,233299,237595,529107
6376,hold,249912,250611,499477
6436,hold,219822,225831,554347
6496,hold,250523,265518,483959
6556,hold,237296,230676,532028
6616,hold,284408,295209,420383
6676,hold,358199,342118,299684
6736,hold,264367,301520,434113
6796,hold,237923,248370,513707
6856,hold,328498,312750,358752
6916,hold,228948,274504,496548
6976,hold,227922,244010,528069
7036,hold,338482,307644,353874
7096,hold,222063,232448,545489
7156,hold,254893,253783,491324
7216,hold,259150,240886,499964
7276,hold,344089,297562,358349
7336,short,341755,589984,68262
7396,hold,323601,268442,407957
7456,hold,247241,258743,494016
7516,hold,257823,252278,489899
7576,hold,313829,284277,401894
7636,hold,322382,282071,395547
7696,hold,239005,246493,514502
7756,hold,288023,237320,474657
7816,hold,300176,253071,446753
7876,hold,264035,273933,462032
7936,hold,290345,309820,399835
7996,long,376193,357322,266485
8056,short,412630,475546,111824
8116,short,380390,535921,83688
8176,long,364134,361145,274720
8236,long,415789,298850,285361
8296,long,362465,297921,339614
8356,long,385507,294260,320233
8416,hold,283611,290815,425574
8476,hold,308160,249069,442771
8536,hold,299870,248440,451690
8596,hold,267336,260329,472335
8656,hold,296452,303995,399553
8716,long,389088,267279,343632
8776,hold,262975,246285,490740
8836,hold,254062,240902,505036
8896,hold,245854,266871,487275
8956,hold,226004,231089,542907
9016,hold,255638,257682,486680
9076,hold,228468,245793,525738
9136,hold,251737,255574,492689
9196,hold,237090,253191,509719
9256,hold,268149,313575,418276
9316,hold,259436,261970,478595
9376,long,364796,253591,381612
9436,hold,275368,248255,476378
9496,hold,288076,267527,444397
9556,short,498485,499877,1639
9616,long,620389,302380,77231
9676,long,465172,360822,174007
9736,long,421837,297206,280957
9796,long,448138,279566,272295
9856,long,496972,306179,196849
9916,long,384763,287421,327816
9976,long,409034,310876,280090
10036,long,379264,287968,332768
10096,hold,287145,276740,436115
10156,hold,333581,263312,403106
10216,hold,279877,277141,442982
10276,long,387145,308710,304145
10336,long,428909,364779,206312
10396,long,429245,323470,247285
10456,hold,275070,275740,449189
10516,long,463451,320010,216540
10576,long,360162,320823,319015
10636,hold,260167,255127,484705
10696,hold,330466,311216,358319
10756,hold,287066,272629,440306
10816,long,490671,264030,245298
10876,long,474233,323678,202089
10936,long,426551,291981,281468
10996,long,562627,368082,69291
11056,long,546212,301308,152480
11116,long,488609,399985,111406
11176,long,567084,307365,125551
11236,long,450681,305236,244082
11296,long,499589,315058,185353
11356,long,431849,329746,238405
11416,hold,259853,328616,411531
11476,hold,335832,263638,400530
11536,hold,297536,260755,441709
11596,hold,325198,278119,396683
11656,long,565126,424829,10045
11716,long,424983,274086,300931
11776,hold,322979,261748,415273
11836,hold,304267,285570,410162
11896,hold,308527,296009,395464
11956,hold,295928,253471,450601
12016,long,514866,359192,125942
12076,hold,350275,284591,365134
12136,hold,298940,285029,416031
12196,hold,320209,278615,401175
12256,long,375349,325675,298976
12316,hold,353585,315459,330956
12376,long,567741,318629,113630
12436,long,458047,347701,194252
12496,short,402028,452338,145635
12556,long,400918,273540,325542
12616,long,585614,263895,150492
12676,long,389585,324544,285872
12736,long,533684,401085,65231
12796,long,512521,335443,152036
12856,long,471568,299827,228604
12916,long,384703,328007,287290
12976,hold,326836,298183,374981
13036,long,370152,325060,304788
13096,hold,317187,293002,389811
13156,hold,328791,313265,357944
13216,hold,324543,356072,319384
13276,hold,265794,260603,473602
13336,hold,300483,263787,435729
13396,hold,326691,305279,368029
13456,hold,359553,312483,327964
13516,hold,307159,297895,394945
13576,hold,280881,277375,441745
13636,hold,287914,267645,444442
13696,hold,292657,267157,440185
13756,hold,321681,300007,378312
13816,long,851222,136281,12496
13876,long,693179,293816,13005
13936,long,559461,321139,119400
13996,long,565340,306750,127911
14056,short,406651,455103,138246
14116,long,561166,273688,165146
14176,long,383037,324175,292789
14236,long,433603,272434,293963
14296,hold,303105,263460,433436
14356,hold,294767,266553,438680
14416,hold,262926,260599,476475
14476,hold,310401,271046,418554
14536,hold,275150,236900,487951
14596,hold,279696,255100,465204
14656,hold,253004,246664,500332
14716,hold,258506,256797,484698
14776,hold,248735,261934,489332
14836,hold,229472,251528,519000
14896,hold,235456,245449,519095
14956,hold,239865,225405,534730
15016,hold,218971,244228,536801
15076,hold,239317,255115,505568
15136,hold,252477,254488,493035
15196,hold,276460,288584,434955
15256,hold,262632,245132,492236
15316,hold,245393,246675,507932
15376,hold,253774,252443,493783
15436,hold,337573,351882,310544
15496,hold,249750,268510,481740
15556,hold,241963,235185,522852
15616,hold,224111,224200,551689
15676,hold,228597,264676,506727
15736,hold,296027,287243,416730
15796,hold,280033,247542,472425
15856,hold,256408,262532,481060
15916,hold,255114,237661,507225
15976,hold,240727,250411,508862
16036,hold,230241,226753,543006
16096,hold,217775,228163,554062
16156,hold,215025,228290,556685
16216,hold,229413,233405,537182
16276,hold,243670,244533,511798
16336,hold,207309,218896,573796
16396,hold,252285,248716,498999
16456,hold,279257,242962,477781
16516,hold,243726,267612,488662
16576,hold,279564,312152,408285
16636,hold,271633,270142,458225
16696,hold,287726,279236,433037
16756,hold,282467,240857,476676
16816,hold,347621,260209,392171
16876,hold,264560,281184,454256
16936,hold,243094,238129,518778
16996,hold,260675,241039,498286
17056,hold,287845,268578,443577
17116,hold,251864,260413,487724
17176,long,367821,325421,306758
17236,hold,354692,293742,351566
17296,hold,262035,284226,453739
17356,long,473371,324670,201959
17416,long,495885,254752,249363
17476,hold,340130,279715,380155
17536,hold,303758,296775,399466
17596,hold,329808,257771,412421
17656,hold,306160,276463,417377
17716,long,436131,248585,315284
17776,hold,328189,306530,365281
17836,long,435068,280513,284420
17896,long,443255,399149,157597
17956,long,487111,282766,230123
18016,long,496021,375881,128098
18076,long,480941,340870,178189
18136,long,621487,284613,93901
18196,long,712471,271671,15859
18256,long,638506,290444,71050
18316,long,501531,316248,182221
18376,long,481102,311802,207096
18436,long,484662,320473,194866
18496,long,478358,277294,244348
18556,long,436163,361750,202087
18616,short,424400,445012,130589
18676,long,390767,268606,340626
18736,hold,326292,272471,401237
18796,hold,337310,344239,318450
18856,long,391244,269375,339381
18916,long,370237,328938,300826
18976,hold,281408,262753,455839
19036,hold,251914,271273,476813
19096,hold,301639,252952,445410
19156,hold,237176,235717,527107
19216,short,275605,392756,331639
19276,long,368176,337728,294096
19336,short,382040,397215,220745
19396,hold,333882,334921,331197
19456,hold,339476,288758,371766
19516,long,360668,274392,364940
19576,long,700039,226024,73936
19636,long,450592,374649,174759
19696,long,580438,354703,64859
19756,long,485576,333739,180686
19816,long,414388,296737,288875
19876,hold,358650,315041,326309
19936,long,424090,302365,273545
19996,long,381782,274069,344149
20056,hold,310772,276052,413175
20116,hold,268019,255713,476268
20176,hold,302401,300469,397131
20236,long,378325,342695,278979
20296,long,418914,354250,226836
20356,hold,313119,274310,412571
20416,hold,354260,313848,331892
20476,long,384084,341823,274093
20536,hold,263722,250997,485282
20596,hold,256612,247852,495536
20656,hold,337240,351104,311656
20716,hold,303919,269802,426279
20776,hold,330537,275616,393847
20836,hold,293949,298671,407381
20896,hold,323096,266077,410827
20956,hold,296184,328069,375748
21016,long,502283,404898,92819
21076,long,454341,364156,181503
21136,long,417944,291060,290996
21196,long,408456,284953,306590
21256,hold,358704,287549,353748
21316,hold,258266,263739,477995
21376,short,330753,369995,299251
21436,long,425198,251133,323669
21496,hold,287520,249921,462559
21556,hold,285313,264284,450403
21616,long,459010,369461,171528
21676,long,437095,294696,268209
21736,hold,345146,302130,352725
21796,hold,321817,287147,391036
21856,hold,319461,275540,404999
21916,hold,244208,242431,513361
21976,hold,241567,242861,515572
22036,hold,250322,262240,487438
22096,hold,266019,256627,477354
22156,long,452761,259261,287979
22216,hold,260540,252653,486807
22276,short,376629,410366,213005
22336,long,367065,319253,313681
22396,long,368326,291224,340450
22456,long,485536,291678,222786
22516,long,645664,291413,62922
22576,short,373522,412845,213634
22636,long,508669,325838,165493
22696,long,397156,331106,271738
22756,hold,353697,289681,356622
22816,hold,358368,320643,320988
22876,long,434338,328098,237564
22936,hold,339034,260215,400750
22996,hold,322350,271349,406301
23056,hold,295446,311414,393140
23116,hold,307441,243072,449487
23176,long,438780,405814,155405
23236,long,448274,270231,281496
23296,hold,311048,265060,423891
23356,hold,270588,311797,417615
23416,hold,265380,230653,503967
23476,hold,303559,293277,403164
23536,hold,303098,295714,401188
23596,hold,333063,309007,357931
23656,hold,302674,307492,389834
23716,hold,303498,276718,419784
23776,hold,254358,271486,474156
23836,hold,318532,273122,408346
23896,long,381465,280323,338212
23956,short,389422,468539,142039
24016,long,447823,436973,115204
24076,long,378700,319541,301759
24136,long,424774,286558,288668
24196,short,329151,420159,250690
24256,long,428810,329953,241236
24316,long,421069,278131,300800
24376,long,375948,294940,329112
24436,hold,307989,266567,425444
24496,hold,243469,249337,507195
24556,hold,321584,343025,335391
24616,hold,257593,244893,497514
24676,hold,250553,238663,510784
24736,long,516928,299729,183343
24796,long,376491,288184,335325
24856,long,389638,277098,333263
24916,long,407876,291072,301052
24976,long,469744,332771,197485
25036,hold,349018,291695,359287
25096,long,362882,302344,334773
25156,hold,348012,257529,394459
25216,hold,263222,264968,471810
25276,long,406356,330164,263480
25336,hold,322680,276755,400565
25396,long,365049,284603,350348
25456,long,369334,307072,323593
25516,long,544283,309265,146452
25576,hold,340462,298855,360683
25636,hold,341695,268507,389798
25696,hold,326137,350885,322977
25756,hold,331959,246047,421995
25816,hold,293179,248762,458059
25876,hold,250817,288312,460871
25936,hold,309405,248771,441823
25996,hold,304715,315338,379947
26056,hold,244461,273488,482052
26116,long,430475,323321,246205
26176,short,349038,371402,279559
26236,long,449378,298545,252077
26296,hold,278296,292478,429226
26356,hold,288574,286869,424557
26416,hold,352265,301680,346055
26476,short,431171,433565,135264
26536,long,465942,313950,220108
26596,long,390682,274732,334586
26656,long,474097,307458,218445
26716,hold,338688,308287,353025
26776,hold,359342,296227,344431
26836,long,480237,293308,226455
26896,long,360351,279746,359903
26956,hold,311019,275997,412984
27016,hold,243286,273273,483441
27076,hold,263128,260009,476864
27136,short,373913,434794,191293
27196,long,410081,333153,256766
27256,long,693826,304353,1821
27316,long,908045,90703,1252
27376,long,866152,126736,7112
27436,long,817853,172198,9949
27496,long,600196,303570,96234
27556,long,558407,284298,157295
27616,long,545094,290492,164413
27676,long,362005,317497,320498
27736,long,481200,303789,215011
27796,short,488110,510597,1293
27856,long,691754,263739,44506
27916,long,412664,388581,198755
27976,long,568059,251280,180660
28036,long,484156,304507,211337
28096,long,514495,442292,43213
28156,long,786210,179006,34784
28216,long,514277,341266,144456
28276,long,485474,298234,216292
28336,long,721948,277110,942
28396,long,785195,214764,41
28456,long,968476,31447,78
28516,long,651300,268059,80641
28576,long,638254,261863,99883
28636,long,520964,286989,192048
28696,long,687362,219421,93217
28756,long,535653,402056,62291
28816,long,681937,259653,58411
28876,long,679240,270769,49991
