sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
16,hold,302177,281734,416089
76,hold,328415,305138,366447
136,hold,335940,281398,382663
196,hold,163368,209552,627079
256,hold,210397,234369,555234
316,hold,260973,224780,514247
376,hold,219109,227340,553551
436,hold,209809,205597,584594
496,hold,221006,227459,551535
556,short,310863,341397,347739
616,hold,292476,268517,439007
676,hold,276937,256716,466346
736,hold,231832,232156,536012
796,hold,242904,245818,511277
856,hold,298496,333643,367861
916,short,293410,348056,358533
976,hold,217154,299968,482877
1036,hold,291244,278969,429787
1096,hold,276041,233868,490090
1156,hold,331879,319444,348677
1216,hold,261336,242154,496510
1276,hold,265258,252014,482728
1336,hold,309274,258080,432646
1396,hold,244278,265958,489763
1456,hold,274284,254493,471222
1516,long,401115,306773,292112
1576,hold,312854,297069,390077
1636,long,362211,289235,348554
1696,hold,254152,257887,487961
1756,hold,336393,303361,360246
1816,hold,255186,254327,490487
1876,hold,244992,240034,514974
1936,hold,280349,321162,398489
1996,hold,255736,241412,502852
2056,hold,283648,282467,433885
2116,hold,237147,322046,440807
2176,hold,255076,263950,480974
2236,short,315785,342055,342160
2296,long,409054,329667,261279
2356,long,486551,444494,68955
2416,long,540863,306951,152185
2476,long,428736,291892,279372
2536,long,442478,393148,164374
2596,hold,268755,272300,458945
2656,long,420902,346981,232117
2716,long,353014,291972,355014
2776,hold,257294,301756,440950
2836,hold,268230,271302,460468
2896,hold,197733,209208,593060
2956,hold,248155,276553,475292
3016,hold,330661,257788,411551
3076,hold,207145,226930,565925
3136,hold,223888,224443,551669
3196,hold,253219,268188,478593
3256,hold,223507,231579,544913
3316,hold,314848,252577,432576
3376,hold,285910,259889,454201
3436,hold,275515,245981,478504
3496,hold,258412,249465,492123
3556,hold,196001,203812,600187
3616,hold,218041,249257,532702
3676,short,281163,363176,355661
3736,hold,243551,258910,497539
3796,long,434356,416686,148957
3856,long,344416,295411,360173
3916,long,417124,317851,265024
3976,hold,315300,256080,428620
