sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
16,hold,299200,323713,377087
76,long,346716,300092,353192
136,hold,322786,292071,385143
196,hold,185296,212520,602184
256,hold,214556,228723,556721
316,hold,266748,238329,494923
376,hold,223891,249306,526803
436,hold,208464,220882,570654
496,hold,227364,249924,522712
556,hold,316359,326974,356667
616,hold,310493,283520,405987
676,hold,262660,286159,451181
736,hold,235210,249824,514966
796,hold,236300,239642,524058
856,hold,283694,298887,417418
916,short,282633,343482,373885
976,hold,234319,271204,494477
1036,hold,284269,280480,435251
1096,hold,289632,247019,463349
1156,hold,318864,323111,358025
1216,hold,243919,218193,537888
1276,hold,238996,249563,511441
1336,hold,302780,258791,438429
1396,hold,248391,274492,477116
1456,hold,278648,270938,450413
1516,long,394328,283767,321905
1576,hold,281923,297604,420474
1636,long,372823,306917,320260
1696,hold,255552,256317,488131
1756,hold,327510,309922,362567
1816,hold,246003,258554,495443
1876,hold,237965,224977,537057
1936,hold,272125,307288,420587
1996,hold,238676,214446,546878
2056,hold,257010,240801,502189
2116,hold,220461,319010,460529
2176,hold,252234,255181,492586
2236,short,306294,361353,332354
2296,long,406627,342689,250684
2356,long,503778,429828,66394
2416,long,482699,361890,155411
2476,long,435280,267852,296868
2536,short,407508,414698,177794
2596,hold,308737,246141,445122
2656,long,374086,368250,257664
2716,long,348309,296840,354852
2776,hold,292138,307237,400625
2836,hold,278043,286387,435571
2896,hold,199765,215326,584909
2956,hold,247221,279871,472908
3016,hold,327813,245608,426580
3076,hold,198492,228309,573199
3136,hold,240384,249135,510482
3196,hold,263874,268110,468016
3256,hold,235861,241259,522880
3316,hold,300119,262328,437553
3376,hold,288337,270541,441122
3436,hold,278292,271796,449912
3496,hold,254965,266884,478152
3556,hold,200608,225048,574344
3616,hold,220114,229798,550088
3676,short,280574,367883,351544
3736,hold,259178,253871,486951
3796,long,429078,414537,156386
3856,hold,325303,274154,400543
3916,long,373442,313353,313205
3976,hold,287018,233444,479539
4036,long,348021,297073,354906
4096,hold,329382,283562,387056
4156,hold,337898,271743,390359
4216,hold,240475,260577,498947
4276,hold,224650,255030,520319
4336,hold,235837,223591,540571
4396,hold,264595,263664,471741
4456,hold,261160,233377,505463
4516,hold,208339,201718,589943
4576,hold,238994,243094,517912
4636,hold,234269,199800,565931
4696,hold,173808,215184,611009
4756,hold,204307,181351,614341
4816,hold,172953,219155,607891
4876,short,302879,341559,355562
